Seq,Wave,Wave Name,ID,Source,Module,Feature / Requirement,Actors,Workbook Priority,Workbook Phase,Current Status,Action,Depends On,Remaining Scope,Evidence / File Path
135,18,Completed - preserve & add regression tests,RBAC-001,RBAC Matrix,Security,Browse/search,All,n/a,n/a,COMPLETED,PRESERVE,-,None,Public storefront
136,18,Completed - preserve & add regression tests,RBAC-004,RBAC Matrix,Security,Manage catalog,"Shop, Operator, Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,SHOP_PRODUCT_MANAGE_OWN/ANY
137,18,Completed - preserve & add regression tests,RBAC-005,RBAC Matrix,Security,Upload product lists,"Shop, Operator, Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,EXCEL_UPLOAD_OWN/ANY
138,18,Completed - preserve & add regression tests,RBAC-006,RBAC Matrix,Security,Verify shop,"Operator, Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,SHOP_APPROVE/REJECT
139,18,Completed - preserve & add regression tests,RBAC-008,RBAC Matrix,Security,Manage own availability,"Gig, Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,goOnline/goOffline
140,18,Completed - preserve & add regression tests,RBAC-013,RBAC Matrix,Security,Manage users/roles,"Operator (Limited), Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,USER_VIEW_ANY / USER_SET_ROLE
141,18,Completed - preserve & add regression tests,RBAC-014,RBAC Matrix,Security,System configuration,"Operator (Limited), Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,SYSTEM_CONFIG admin-only
142,18,Completed - preserve & add regression tests,RBAC-015,RBAC Matrix,Security,Audit logs,"Operator (Limited), Admin",n/a,n/a,COMPLETED,PRESERVE,-,None,AUDIT_LOG_VIEW_LIMITED / AUDIT_LOG_VIEW
143,18,Completed - preserve & add regression tests,GA-003,Gig Assignment Rules,Delivery,Distance,System,P0,n/a,COMPLETED,PRESERVE,-,Travel-time ETA later (GS-072),delivery-eligibility.ts nearest-first
144,18,Completed - preserve & add regression tests,GA-004,Gig Assignment Rules,Delivery,Availability,System,P0,n/a,COMPLETED,PRESERVE,-,None,APPROVED + online + in radius
145,18,Completed - preserve & add regression tests,NAV-005,Navigation,Customer,Customer portal - Subscriptions,Customer,n/a,n/a,COMPLETED,PRESERVE,-,None,app/subscriptions
146,18,Completed - preserve & add regression tests,NAV-007,Navigation,Shop,Shop portal - Catalog,Shop,n/a,n/a,COMPLETED,PRESERVE,-,None,"shop-product-manager, excel upload, app/shop/prices"
147,18,Completed - preserve & add regression tests,NAV-008,Navigation,Shop,Shop portal - Orders,Shop,n/a,n/a,COMPLETED,PRESERVE,-,None,app/shop/orders
148,18,Completed - preserve & add regression tests,NAV-011,Navigation,Gig,Gig portal - Jobs,Gig,n/a,n/a,COMPLETED,PRESERVE,-,None,delivery-partner-dashboard
